194 -0.006 -3.829	R 58 1 3 0.307 0.319 -0.028 -3.785	4 -0.670 -0.594 0.006 8.980
L 49 1 1 -0.334 -0.355 -0.051 7.178	2 0.669 0.589 -0.028 -7.925	R 38 0 3 -0.047 -0.043 -0.028 -1.798	4 -0.246 -0.258 0.278 0.084
L 50 1 1 -0.331 -0.356 -0.040 8.382	2 0.669 0.588 -0.017 -7.714	R 39 0 3 -0.045 -0.042 -0.006 -1.235	4 -0.246 -0.249 0.278 0.716
L 50 1 1 -0.331 -0.357 -0.028 8.866	2 0.669 0.587 -0.028 -7.495	R 40 0 3 -0.042 -0.041 0.062 -0.884	4 -0.235 -0.244 0.301 2.246
L 51 1 1 -0.328 -0.357 -0.006 10.088	2 0.669 0.587 -0.028 -7.222	R 41 0 3 -0.038 -0.039 0.006 -0.752	4 -0.225 -0.236 0.426 2.536
L 52 1 1 -0.325 -0.357 0.017 11.143	2 0.669 0.586 -0.040 -6.897	R 41 0 3 -0.038 -0.037 0.062 -0.251	4 -0.216 -0.224 0.176 0.171
L 53 1 1 -0.322 -0.357 -0.017 12.022	2 0.669 0.585 -0.040 -6.563	R 42 0 3 -0.033 -0.035 0.131 0.558	4 -0.216 -0.220 0.119 1.393
L 53 1 1 -0.322 -0.357 -0.006 12.233	2 0.669 0.583 -0.074 -5.938	R 43 0 3 -0.027 -0.031 0.267 0.980	4 -0.208 -0.216 0.267 2.246
L 54 1 1 -0.319 -0.357 -0.017 13.253	2 0.669 0.582 -0.040 -5.429	R 44 0 3 -0.020 -0.025 0.096 0.330	4 -0.201 -0.212 0.255 3.143
L 55 1 1 -0.316 -0.356 0.028 14.193	2 0.669 0.580 -0.096 -4.769	R 44 0 3 -0.020 -0.017 0.289 -0.927	4 -0.196 -0.204 0.210 0.778
L 56 1 1 -0.313 -0.356 -0.006 14.914	2 0.670 0.579 -0.051 -4.198	R 45 0 3 -0.012 -0.012 0.267 -0.286	4 -0.196 -0.197 0.165 0.321
L 56 1 1 -0.313 -0.356 -0.006 14.993	2 0.670 0.577 -0.108 -3.310	R 46 0 3 -0.004 -0.007 0.199 0.734	4 -0.191 -0.194 0.096 0.919
L 57 1 1 -0.310 -0.355 0.028 15.785	2 0.670 0.575 -0.062 -2.818	R 47 0 3 0.005 0.001 0.096 -0.163	4 -0.187 -0.194 0.051 2.053
L 58 1 1 -0.307 -0.355 0.085 16.453	2 0.670 0.574 -0.085 -2.070	R 47 0 3 0.005 0.008 0.131 -0.998	4 -0.184 -0.191 0.096 1.305
L 59 1 1 -0.305 -0.354 -0.006 16.954	2 0.671 0.573 -0.028 -1.771	R 48 0 3 0.015 0.016 0.426 -0.629	4 -0.184 -0.189 0.074 1.543
